iter	RMSE
130	0.1697965134
131	0.168468919
132	0.1673618444
133	0.1665918397
134	0.1653718236
135	0.1641427842
136	0.1630464703
137	0.1617187119
138	0.1608036751
139	0.159539059
140	0.1585114591
141	0.1576444736
142	0.1562888494
143	0.1552299024
144	0.1544630732
145	0.1534390485
146	0.1523697419
147	0.151272384
148	0.1502017965
149	0.1493401822
150	0.1485366921
151	0.1473476871
152	0.1463038856
153	0.1452240509
154	0.1443564906
155	0.1434629684
156	0.14242859
157	0.1414523172
158	0.1404607469
159	0.1393762785
160	0.1382708626
161	0.1374064235
162	0.1363886478
163	0.1353835331
164	0.1345662305
165	0.1337558656
166	0.1329070947
167	0.1322313171
168	0.1315670221
169	0.1307127927
170	0.1298193119
171	0.1289150704
172	0.1282487453
173	0.1275748894
174	0.1268891438
175	0.1261082832
176	0.1253503478
177	0.124513235
178	0.1238581391
179	0.1229729689
180	0.1221151019
181	0.1214110035
182	0.1207043069
183	0.1199952331
184	0.119145912
185	0.1184577173
186	0.1177928834
187	0.1169633859
188	0.1162997977
189	0.1156083346
190	0.114938183
191	0.1143496592
192	0.1137956379
193	0.1131469947
194	0.1124788577
195	0.1118174147
196	0.1112639091
197	0.1105952837
198	0.1098395412
199	0.1093637772
200	0.1088529762
201	0.1083683808
202	0.1078687321
203	0.1073560448
204	0.1066785372
205	0.1061036306
206	0.1055065188
207	0.1049542895
208	0.1043241918
209	0.1036430647
210	0.1030792757
211	0.1025802132
212	0.102096556
213	0.1015253339
214	0.1010147997
215	0.1006099143
216	0.1002018203
217	0.09975201425
218	0.09932919828
219	0.09887369362
220	0.09831756376
221	0.09788040834
222	0.09745107857
223	0.09710087728
224	0.09654724835
225	0.09609644753
226	0.09554477149
227	0.09517636695
228	0.09478990874
229	0.09434225243
230	0.0938702218
231	0.09347653375
232	0.09305676901
233	0.09258189785
234	0.09215273362
235	0.09175528978
236	0.09139903229
237	0.09101058228
238	0.09071784421
239	0.09037368417
240	0.08992038561
241	0.08947588572
242	0.08907876033
243	0.08868600943
244	0.08830062516
245	0.08796861682
246	0.08762739328
247	0.08728389721
248	0.08696959282
249	0.08664167978
250	0.08622811347
251	0.08581476755
252	0.08543983019
253	0.0851052409
254	0.08477448282
255	0.08446651131
256	0.08416618403
257	0.08386591181
258	0.08362633724
259	0.08332682381
260	0.08293459311
261	0.08263198553
262	0.08228792284
263	0.08202079943
264	0.08166355002
265	0.08141280244
266	0.08107378997
267	0.08074855729
268	0.08039012744
269	0.08008306032
270	0.07974994593
271	0.07947519686
272	0.07919297223
273	0.07886193288
274	0.0784673304
275	0.07819010353
276	0.07790950891
277	0.07764486247
278	0.07736134679
279	0.0771043226
280	0.07686475398
281	0.07661414544
282	0.07634171427
283	0.07610806581
284	0.07583139747
285	0.07552983979
286	0.07520725551
287	0.07487653979
288	0.07460335051
289	0.07439029234
290	0.07416910118
291	0.07388446508
292	0.07369377363
293	0.07343763707
294	0.07323925426
295	0.07294199238
296	0.07272979169
297	0.07248686675
298	0.07222761684
299	0.07197821223
300	0.07171667447
301	0.07143460794
302	0.0711733672
303	0.07087146192
304	0.07068453814
305	0.07044576789
306	0.07017049331
307	0.0699866115
308	0.0697664713
309	0.06953348298
310	0.06936596057
311	0.06908740359
312	0.0688863505
313	0.06859876377
314	0.06846796896
315	0.06817456832
316	0.06791679168
317	0.06775708226
318	0.06753730129
319	0.06742645255
320	0.06724103072
321	0.06705899387
322	0.06680495897
323	0.06661998167
324	0.06639378635
325	0.06614731369
326	0.06594413978
327	0.06567951802
328	0.06543776254
329	0.06523871455
330	0.06506237713
331	0.06492374184
332	0.06479041441
333	0.06453807088
334	0.06432325774
335	0.06415442498
336	0.06393306988
337	0.06374455465
338	0.06353812445
339	0.06333680888
340	0.06312939574
341	0.06289537958
342	0.0626896626
343	0.06252227086
344	0.06228824037
345	0.06206775057
346	0.06192946038
347	0.06172590931
348	0.06153867575
349	0.06136201245
350	0.06109502227
351	0.06092257833
352	0.06071486478
353	0.06053800727
354	0.060364723
355	0.06022993714
356	0.06010554603
357	0.05994062049
358	0.05972863177
359	0.05956717783
360	0.0594226352
361	0.05927357653
362	0.05910146249
363	0.05893231518
364	0.05889650108
365	0.05873310513
366	0.0585891558
367	0.05840494185
368	0.05820829394
369	0.05799798696
370	0.05783684801
371	0.0577117727
372	0.05758850572
373	0.0574044518
374	0.05718704962
375	0.05711400382
376	0.0569985351
377	0.05689169616
378	0.05678731882
379	0.05663234628
380	0.05651747383
381	0.0563995891
382	0.05622051145
383	0.05606954063
384	0.0559267452
385	0.0558309576
386	0.05567085626
387	0.05550682823
388	0.05532967768
389	0.05523872227
390	0.05511084444
391	0.05504847881
392	0.05497767598
393	0.05476449905
394	0.05467954586
395	0.05451889112
396	0.0544048472
397	0.05428934654
398	0.0540915799
399	0.05393474965
400	0.05378883208
401	0.05376009124
402	0.05365335913
403	0.0535907234
404	0.05343846002
405	0.05331450578
406	0.05315985111
407	0.05310429093
408	0.05301022782
409	0.05286844413
410	0.05268210106
411	0.05261738207
412	0.05247557337
413	0.05234119888
414	0.05224428984
415	0.05208194656
416	0.05195446559
417	0.05183321381
418	0.05167424791
419	0.0515348069
420	0.05140827655
421	0.05121448563
422	0.05107553136
423	0.05094722788
424	0.05081509037
425	0.05068624016
426	0.05054713043
427	0.05045057451
428	0.05027170508
429	0.05016905055
430	0.05007434072
431	0.04997656791
432	0.04988989243
433	0.0497779215
434	0.04967449312
435	0.04958037975
436	0.04942104236
437	0.04930393305
438	0.04917910104
439	0.04912564116
440	0.04904202455
441	0.04889295825
442	0.04875350928
443	0.04871334437
444	0.04853658711
445	0.04836274324
446	0.04822900596
447	0.04810241294
448	0.04800109738
449	0.04789542485
450	0.04778024926
451	0.04765714547
452	0.04751588095
453	0.04739461354
454	0.04728373253
455	0.04718142455
456	0.04705412509
457	0.04688059344
458	0.04675621432
459	0.04665834343
460	0.04654601009
461	0.04639295606
462	0.04626186025
463	0.04612767306
464	0.04599871721
465	0.04589016449
466	0.04577042313
467	0.04566527172
468	0.04555398702
469	0.0454552481
470	0.04535423353
471	0.04521200488
472	0.04510424957
473	0.04501369392
474	0.04488606945
475	0.04477316935
476	0.04466019105
477	0.04462215768
478	0.04454206428
479	0.04446189076
480	0.0443050578
481	0.04419000903
482	0.04408240588
483	0.04397682699
484	0.04384847843
485	0.04371825067
486	0.04364567511
487	0.04352982281
488	0.04340278122
489	0.04333959747
490	0.04320939386
491	0.04313543144
492	0.04297341615
493	0.04290213659
494	0.04280312059
495	0.04268861032
496	0.04260780829
497	0.04253086552
498	0.04243435533
499	0.04233570466
500	0.04222771657
501	0.04210970537
502	0.04199767072
503	0.04188795715
504	0.04183117834
505	0.04173805657
506	0.04165140046
507	0.04155180109
508	0.04145385455
509	0.04136649301
510	0.0412717738
511	0.04119099606
512	0.04108256105
513	0.04100632469
514	0.0409235547
515	0.04079075841
516	0.04072767925
517	0.04064882874
518	0.04050450886
519	0.040412763
520	0.0403159124
521	0.04020640528
522	0.0401106045
523	0.04001631302
524	0.03991926504
525	0.03983277179
526	0.03976716138
527	0.03966233932
528	0.03957794835
529	0.03950730116
530	0.03939587228
531	0.03930341512
532	0.03921328456
533	0.03914107714
534	0.03906876529
535	0.03897343415
536	0.03890810352
537	0.03882116055
538	0.03876264507
539	0.03870954259
540	0.03864796998
541	0.03853974198
542	0.03846029577
543	0.03844278841
544	0.03837203021
545	0.03830727231
546	0.03822091586
547	0.03814708425
548	0.03803266114
549	0.03796423631
550	0.03790288136
551	0.03782389231
552	0.03776957935
553	0.03769400471
554	0.03764736376
555	0.03758157556
556	0.03753319417
557	0.03745581243
558	0.03739043217
559	0.03731470961
560	0.03726220977
561	0.03719048885
562	0.03711423722
563	0.03702815188
564	0.03694487528
565	0.03686012023
566	0.03679943389
567	0.03673968012
568	0.03667124802
569	0.0366191007
570	0.03653339142
571	0.03648748448
572	0.03639937474
573	0.03633001943
574	0.03625734352
575	0.03618858422
576	0.03610954229
577	0.03603870839
578	0.03597900831
579	0.0359369383
580	0.03583482502
581	0.03579354079
582	0.03571481852
583	0.03563052886
584	0.03555007699
585	0.03549279468
586	0.03542306442
587	0.03536494032
588	0.03526346526
589	0.03519961025
590	0.03516190128
591	0.03509707738
592	0.0350337691
593	0.03498337527
594	0.03492202337
595	0.03484643876
596	0.03479195491
597	0.03473424051
598	0.03467041881
599	0.03459967376
600	0.03455749753
601	0.03448945255
602	0.03439899489
603	0.03433814474
604	0.03429297599
605	0.03424627373
606	0.03421823268
607	0.03416516805
608	0.03410433011
609	0.03402736672
610	0.03397986666
611	0.03393278753
612	0.03387078883
613	0.03383017863
614	0.03376494065
615	0.03368170706
616	0.03361591601
617	0.03351780086
618	0.03342567224
619	0.03334661697
620	0.03325873547
621	0.03320922461
622	0.03319600279
623	0.03312883135
624	0.03310331255
625	0.03304835185
626	0.03298101028
627	0.03293243632
628	0.03286718368
629	0.03280063361
630	0.03273620585
631	0.03272518609
632	0.03271196986
633	0.03265262222
634	0.03262768515
635	0.03253622736
636	0.03247127234
637	0.03240374395
638	0.03232337194
639	0.0322501715
640	0.03217637891
641	0.03210233267
642	0.03203506075
643	0.03200624297
644	0.03196708981
645	0.03191724564
646	0.03181648897
647	0.0317590934
648	0.03170294718
649	0.03162489727
650	0.03156954593
651	0.03148386142
652	0.03141937568
653	0.0313699986
654	0.03135566756
655	0.03130297608
656	0.03124207074
657	0.03117132862
658	0.03111846309
659	0.03105466586
660	0.03098003167
661	0.0309230818
662	0.03086875116
663	0.03080782109
664	0.03074413168
665	0.03068215197
666	0.03062241016
667	0.03051664343
668	0.0304586305
669	0.03038667366
670	0.03033737757
671	0.03031289956
672	0.03024871651
673	0.03018615082
674	0.03010783822
675	0.03004140812
676	0.02999157003
677	0.02994918468
678	0.02989476003
679	0.02983045931
680	0.02976139444
681	0.02971502163
682	0.02963789052
683	0.0295830569
684	0.02953145532
685	0.0294797506
686	0.02942575749
687	0.02938304382
688	0.02934461238
689	0.0292774033
690	0.02924408232
691	0.02919485503
692	0.02913479812
693	0.02908300892
694	0.02902754943
695	0.02899599398
696	0.02894320136
697	0.02889923521
698	0.02885415736
699	0.02880234799
700	0.02872862944
701	0.02863991288
702	0.02857847614
703	0.0285235797
704	0.02846370498
705	0.02840341814
706	0.02837173455
707	0.02830741906
708	0.02823052334
709	0.02815462118
710	0.02809828879
711	0.02806367419
712	0.02800986035
713	0.02796559277
714	0.02792454602
715	0.02788101187
716	0.02782340344
717	0.02776230991
718	0.02771226466
719	0.02767283795
720	0.02761941026
721	0.0275819828
722	0.02753182024
723	0.02748046611
724	0.02744767703
725	0.02737625619
726	0.02728184489
727	0.02721726454
728	0.02714947673
729	0.02709875146
730	0.02704401915
731	0.02699307263
732	0.02692915974
733	0.0269008209
734	0.02684422702
735	0.02680268363
736	0.02675506262
737	0.02670019018
738	0.02664610685
739	0.02660337785
740	0.02657549248
741	0.02653412534
742	0.02647755897
743	0.02644442963
744	0.02639751426
745	0.02635343009
746	0.02629293241
747	0.02623782963
748	0.02618967656
749	0.02613011214
750	0.02606538943
751	0.02599659331
752	0.02598130364
753	0.0258934327
754	0.02584947731
755	0.02578273584
756	0.02573026951
757	0.02567887245
758	0.02562640203
759	0.02558247313
760	0.02551858174
761	0.02545504424
762	0.0254351046
763	0.0253790127
764	0.02534425942
765	0.0252924229
766	0.02527563626
767	0.02524518708
768	0.02520852509
769	0.02514544924
770	0.02510732575
771	0.02506223442
772	0.02501195165
773	0.02495685281
774	0.02489846544
775	0.02485893478
776	0.02483427367
777	0.0247875156
778	0.02474604716
779	0.02470748489
780	0.02464935467
781	0.02460023052
782	0.02454816589
783	0.02451003307
784	0.02445331156
785	0.02441525379
786	0.02436653743
787	0.02431904579
788	0.02424695301
789	0.02421160002
790	0.0241646167
791	0.02413218625
792	0.02408234488
793	0.02405352688
794	0.02400672361
795	0.02397513188
796	0.0239366553
797	0.02389843368
798	0.02385612002
799	0.02380764352
